timestamp,"market_cap-weighted (max_weight=0.05, min_volume=1000000)","market_cap-weighted (max_weight=0.05, min_volume=10000000)","market_cap-weighted (max_weight=0.1, min_volume=1000000)","market_cap-weighted (max_weight=0.1, min_volume=10000000)","market_cap-weighted (max_weight=0.2, min_volume=1000000)","market_cap-weighted (max_weight=0.2, min_volume=10000000)"
1374753600000,100.0,100.0,100.0,100.0,100.0,100.0
1374840000000,100.0,100.0,100.0,100.0,100.0,100.0
1374926400000,100.0,100.0,100.0,100.0,100.0,100.0
1375012800000,100.0,100.0,100.0,100.0,100.0,100.0
1375099200000,100.0,100.0,100.0,100.0,100.0,100.0
1375185600000,100.0,100.0,100.0,100.0,100.0,100.0
1375272000000,100.0,100.0,100.0,100.0,100.0,100.0
1375358400000,100.0,100.0,100.0,100.0,100.0,100.0
1375444800000,100.0,100.0,100.0,100.0,100.0,100.0
1375531200000,100.0,100.0,100.0,100.0,100.0,100.0
1375617600000,100.0,100.0,100.0,100.0,100.0,100.0
1375704000000,100.0,100.0,100.0,100.0,100.0,100.0
1375790400000,100.0,100.0,100.0,100.0,100.0,100.0
1375876800000,100.0,100.0,100.0,100.0,100.0,100.0
1375963200000,100.0,100.0,100.0,100.0,100.0,100.0
1376049600000,100.0,100.0,100.0,100.0,100.0,100.0
1376136000000,100.0,100.0,100.0,100.0,100.0,100.0
1376222400000,100.0,100.0,100.0,100.0,100.0,100.0
1376308800000,100.0,100.0,100.0,100.0,100.0,100.0
1376395200000,100.0,100.0,100.0,100.0,100.0,100.0
1376481600000,100.0,100.0,100.0,100.0,100.0,100.0
1376568000000,100.0,100.0,100.0,100.0,100.0,100.0
1376654400000,100.0,100.0,100.0,100.0,100.0,100.0
1376740800000,100.0,100.0,100.0,100.0,100.0,100.0
1376827200000,100.0,100.0,100.0,100.0,100.0,100.0
1376913600000,100.0,100.0,100.0,100.0,100.0,100.0
1377000000000,100.0,100.0,100.0,100.0,100.0,100.0
1377086400000,100.0,100.0,100.0,100.0,100.0,100.0
1377172800000,100.0,100.0,100.0,100.0,100.0,100.0
1377259200000,100.0,100.0,100.0,100.0,100.0,100.0
1377345600000,100.0,100.0,100.0,100.0,100.0,100.0
