timestamp,bitcoin,"market_cap-weighted (max_weight=0.1, min_volume=1000000)","market_cap-weighted (max_weight=0.1, min_volume=10000000)","volume-weighted (max_weight=0.1, min_volume=1000000)","volume-weighted (max_weight=0.1, min_volume=10000000)"
1477742400000,493.224082564,112292.931669,46.3401636669,52955.7481906,45.9560308502
1477828800000,495.829589566,111762.768869,45.644951083,52626.8989059,45.2665811715
1477915200000,489.616115664,116483.76184,47.1442980293,54849.9220317,46.7534994098
1478001600000,513.399198836,132427.739566,47.4455433577,62357.6288687,47.0522475908
1478088000000,507.551978867,125110.805556,48.0614798548,58912.2279511,47.663078335
1478174400000,517.107116624,123332.97433,48.9974800527,58075.0820465,48.5913196395
1478260800000,493.431013396,118661.578737,46.6471409309,56099.5978862,46.2604634525
1478347200000,491.371094922,116043.326921,46.2568515652,54173.0407086,45.8734093571
1478433600000,498.010669498,112510.756891,47.4985580018,52523.9147734,47.1048227745
1478520000000,491.410284248,105359.877212,46.2310957304,48012.8670594,45.8478670231
1478606400000,492.550380354,107906.034889,46.4453641162,49173.160079,46.0603592494
1478692800000,513.519986854,108371.782137,46.4426704323,49385.4027401,46.0576878946
1478779200000,501.93104389,106187.85842,44.3224507008,48390.1810119,43.9550435429
1478865600000,501.230542344,102708.538097,44.1986503053,47363.8431554,43.8322693801
1478952000000,494.904577047,101650.858335,43.0758994604,46876.0961843,42.7188254823
1479038400000,486.054922693,96227.6183089,41.8442999455,44375.1795639,41.497435206
1479124800000,490.747958805,96366.7365624,42.648467605,44439.3336767,42.2949367865
1479211200000,496.493385811,96292.7562347,43.6412802552,44405.217792,43.2795196014
1479297600000,499.628117975,96590.6320427,44.1906276026,44542.5826432,43.824313181
1479384000000,519.390836833,94309.3887566,44.2750070026,43490.591726,43.9079931252
1479470400000,525.428759361,93638.825893,45.2984642161,43181.3629619,44.9229664778
1479556800000,523.795233009,93301.6074607,45.0163650826,43025.8553358,44.6432057809
1479643200000,526.273197886,92414.2930527,45.4412866413,42616.6720174,45.0646049888
1479729600000,513.322941826,91521.8263456,43.1769198651,42205.1127262,42.819008487
1479816000000,518.021253633,97159.9193436,43.9636990475,44805.108378,43.5992657307
1479902400000,519.515631484,95413.3476803,44.2169851697,43999.6802427,43.8504522593
1479988800000,515.607459084,99073.0064832,43.5492059508,45687.3248022,43.1882085391
1480075200000,515.823756083,100603.708823,43.0051557395,46393.2052175,42.6486681854
1480161600000,514.316224829,97504.5626939,42.7534165047,44964.0399906,42.3990157214
1480248000000,515.348544005,95765.796782,42.92487109,44162.2114624,42.5690490486
1480334400000,515.554078734,93103.5842988,42.9591034283,42934.5373387,42.6029976208
1480420800000,515.228548994,91495.077005,40.9613690727,42192.7773197,40.621823313
1480507200000,522.49558716,91765.0242045,42.3865574896,41661.7292865,42.0351977526
1480593600000,526.59131068,92792.9587291,45.2416787706,42128.4161343,44.8666517503
1480680000000,541.271004108,92030.8619932,47.7295493691,41782.4208254,47.3338993587
