timestamp,"30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000000)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=1000000)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=10000000)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=1000000)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=10000000)",bitcoin
1367236800000,100,100,100,100,100,100,100,100,100.0
1367323200000,100,100,100,100,100.0,100.0,100.0,100.0,101.188965061
1367409600000,100,100,100,100,100.0,100.0,100.0,100.0,93.0062213631
1367496000000,100,100,100,100,100.0,100.0,100.0,100.0,79.5328829689
1367582400000,100,100,100,100,100.0,100.0,100.0,100.0,58.4197214614
1367668800000,100,100,100,100,100.0,100.0,100.0,100.0,71.4429817231
1367755200000,100,100,100,100,100.0,100.0,100.0,100.0,77.4576161146
1367841600000,100,100,100,100,100.0,100.0,100.0,100.0,85.8364678071
1367928000000,100,100,100,100,100.0,100.0,100.0,100.0,75.7828470397
1368014400000,100,100,100,100,100.0,100.0,100.0,100.0,78.7451446516
1368100800000,100,100,100,100,100.0,100.0,100.0,100.0,78.1855565624
1368187200000,100,100,100,100,100.0,100.0,100.0,100.0,82.049766214
1368273600000,100,100,100,100,100.0,100.0,100.0,100.0,82.4872862653
1368360000000,100,100,100,100,100.0,100.0,100.0,100.0,80.5669154024
1368446400000,100,100,100,100,100.0,100.0,100.0,100.0,82.3818443333
1368532800000,100,100,100,100,100.0,100.0,100.0,100.0,83.1935119677
1368619200000,100,100,100,100,100.0,100.0,100.0,100.0,79.3171755633
1368705600000,100,100,100,100,100.0,100.0,100.0,100.0,80.069867789
1368792000000,100,100,100,100,100.0,100.0,100.0,100.0,83.1270963061
1368878400000,100,100,100,100,100.0,100.0,100.0,100.0,86.168905003
1368964800000,100,100,100,100,100.0,100.0,100.0,100.0,86.7596583757
1369051200000,100,100,100,100,100.0,100.0,100.0,100.0,85.6642923396
1369137600000,100,100,100,100,100.0,100.0,100.0,100.0,85.1454263865
1369224000000,100,100,100,100,100.0,100.0,100.0,100.0,86.3046944778
1369310400000,100,100,100,100,100.0,100.0,100.0,100.0,87.1471587386
1369396800000,100,100,100,100,100.0,100.0,100.0,100.0,89.4973113162
1369483200000,100,100,100,100,100.0,100.0,100.0,100.0,90.2993547832
1369569600000,100,100,100,100,100.0,100.0,100.0,100.0,93.1282041773
1369656000000,100,100,100,100,100.0,100.0,100.0,100.0,93.9925539315
1369742400000,100,100,100,100,100.0,100.0,100.0,100.0,90.1849077184
1369828800000,100,100,100,100,100.0,100.0,100.0,100.0,90.2237992826
1369915200000,100,100,100,100,100.0,100.0,100.0,100.0,91.3758670788
1370001600000,100,100,100,100,100.0,100.0,100.0,100.0,89.9767746146
1370088000000,100,100,100,100,100.0,100.0,100.0,100.0,90.0344676536
1370174400000,100,100,100,100,100.0,100.0,100.0,100.0,85.6735580666
1370260800000,100,100,100,100,100.0,100.0,100.0,100.0,83.2018700172
1370347200000,100,100,100,100,100.0,100.0,100.0,100.0,84.8462492836
1370433600000,100,100,100,100,100.0,100.0,100.0,100.0,84.2442173183
1370520000000,100,100,100,100,100.0,100.0,100.0,100.0,84.5370873143
1370606400000,100,100,100,100,100.0,100.0,100.0,100.0,79.7182773702
1370692800000,100,100,100,100,100.0,100.0,100.0,100.0,75.4535636874
1370779200000,100,100,100,100,100.0,100.0,100.0,100.0,65.0127650673
1370865600000,100,100,100,100,100.0,100.0,100.0,100.0,73.4386900379
1370952000000,100,100,100,100,100.0,100.0,100.0,100.0,74.5445169959
1371038400000,100,100,100,100,100.0,100.0,100.0,100.0,77.0997605398
1371124800000,100,100,100,100,100.0,100.0,100.0,100.0,76.1130969716
1371211200000,100,100,100,100,100.0,100.0,100.0,100.0,72.0832555117
1371297600000,100,100,100,100,100.0,100.0,100.0,100.0,71.9061515306
1371384000000,100,100,100,100,100.0,100.0,100.0,100.0,70.4817633588
1371470400000,100,100,100,100,100.0,100.0,100.0,100.0,71.0030046037
1371556800000,100,100,100,100,100.0,100.0,100.0,100.0,73.931881885
1371643200000,100,100,100,100,100.0,100.0,100.0,100.0,75.5248824641
1371729600000,100,100,100,100,100.0,100.0,100.0,100.0,77.6669636721
1371816000000,100,100,100,100,100.0,100.0,100.0,100.0,76.8047607693
1371902400000,100,100,100,100,100.0,100.0,100.0,100.0,75.7353775102
1371988800000,100,100,100,100,100.0,100.0,100.0,100.0,75.2036845881
1372075200000,100,100,100,100,100.0,100.0,100.0,100.0,72.6601835735
1372161600000,100,100,100,100,100.0,100.0,100.0,100.0,73.0582908303
1372248000000,100,100,100,100,100.0,100.0,100.0,100.0,72.1138326908
1372334400000,100,100,100,100,100.0,100.0,100.0,100.0,72.0185764572
1372420800000,100,100,100,100,100.0,100.0,100.0,100.0,67.5979778677
1372507200000,100,100,100,100,100.0,100.0,100.0,100.0,68.5800882226
1372593600000,100,100,100,100,100.0,100.0,100.0,100.0,67.4066819885
1372680000000,100,100,100,100,100.0,100.0,100.0,100.0,66.1498987213
1372766400000,100,100,100,100,100.0,100.0,100.0,100.0,64.0897885335
1372852800000,100,100,100,100,100.0,100.0,100.0,100.0,61.7388354391
1372939200000,100,100,100,100,100.0,100.0,100.0,100.0,57.0545259149
1373025600000,100,100,100,100,100.0,100.0,100.0,100.0,52.0902968391
1373112000000,100,100,100,100,100.0,100.0,100.0,100.0,49.0868443362
1373198400000,100,100,100,100,100.0,100.0,100.0,100.0,48.1267012578
1373284800000,100,100,100,100,100.0,100.0,100.0,100.0,53.2737864011
1373371200000,100,100,100,100,100.0,100.0,100.0,100.0,52.4236220064
1373457600000,100,100,100,100,100.0,100.0,100.0,100.0,53.970997649
1373544000000,100,100,100,100,100.0,100.0,100.0,100.0,60.0983215543
1373630400000,100,100,100,100,100.0,100.0,100.0,100.0,68.6853242667
1373716800000,100,100,100,100,100.0,100.0,100.0,100.0,64.5592498607
1373803200000,100,100,100,100,100.0,100.0,100.0,100.0,67.169331292
1373889600000,100,100,100,100,100.0,100.0,100.0,100.0,68.414995365
1373976000000,100,100,100,100,100.0,100.0,100.0,100.0,68.6115489674
1374062400000,100,100,100,100,100.0,100.0,100.0,100.0,68.339014543
1374148800000,100,100,100,100,100.0,100.0,100.0,100.0,61.6301775446
1374235200000,100,100,100,100,100.0,100.0,100.0,100.0,63.0726105345
1374321600000,100,100,100,100,100.0,100.0,100.0,100.0,64.0256227792
1374408000000,100,100,100,100,100.0,100.0,100.0,100.0,62.6895697275
1374494400000,100,100,100,100,100.0,100.0,100.0,100.0,64.1437574076
1374580800000,100,100,100,100,100.0,100.0,100.0,100.0,64.9168822188
1374667200000,100,100,100,100,100.0,100.0,100.0,100.0,65.5153968162
1374753600000,100,100,100,100,100.0,100.0,100.0,100.0,67.1576901682
1374840000000,100,100,100,100,100.0,100.0,100.0,100.0,67.231183139
1374926400000,100,100,100,100,100.0,100.0,100.0,100.0,65.6326177251
1375012800000,100,100,100,100,100.0,100.0,100.0,100.0,66.9497544488
1375099200000,100,100,100,100,100.0,100.0,100.0,100.0,71.3351348769
1375185600000,100,100,100,100,100.0,100.0,100.0,100.0,71.3221045863
1375272000000,100,100,100,100,100.0,100.0,100.0,100.0,76.2751543491
1375358400000,100,100,100,100,100.0,100.0,100.0,100.0,74.9113791861
1375444800000,100,100,100,100,100.0,100.0,100.0,100.0,74.5275841979
1375531200000,100,100,100,100,100.0,100.0,100.0,100.0,72.3113174882
1375617600000,100,100,100,100,100.0,100.0,100.0,100.0,72.968898648
1375704000000,100,100,100,100,100.0,100.0,100.0,100.0,73.8565859086
1375790400000,100,100,100,100,100.0,100.0,100.0,100.0,74.1890347549
1375876800000,100,100,100,100,100.0,100.0,100.0,100.0,74.650291585
1375963200000,100,100,100,100,100.0,100.0,100.0,100.0,72.9865315574
1376049600000,100,100,100,100,100.0,100.0,100.0,100.0,72.2609330798
1376136000000,100,100,100,100,100.0,100.0,100.0,100.0,71.8631969766
1376222400000,100,100,100,100,100.0,100.0,100.0,100.0,72.7202231562
1376308800000,100,100,100,100,100.0,100.0,100.0,100.0,72.8388804065
1376395200000,100,100,100,100,100.0,100.0,100.0,100.0,74.3361358433
1376481600000,100,100,100,100,100.0,100.0,100.0,100.0,78.4411907412
1376568000000,100,100,100,100,100.0,100.0,100.0,100.0,77.6648489604
1376654400000,100,100,100,100,100.0,100.0,100.0,100.0,77.6641822197
1376740800000,100,100,100,100,100.0,100.0,100.0,100.0,76.2646889306
1376827200000,100,100,100,100,100.0,100.0,100.0,100.0,79.5244525209
1376913600000,100,100,100,100,100.0,100.0,100.0,100.0,83.4975275634
1377000000000,100,100,100,100,100.0,100.0,100.0,100.0,84.4824035946
1377086400000,100,100,100,100,100.0,100.0,100.0,100.0,85.1771753968
1377172800000,100,100,100,100,100.0,100.0,100.0,100.0,85.7162801593
1377259200000,100,100,100,100,100.0,100.0,100.0,100.0,83.6611186809
1377345600000,100,100,100,100,100.0,100.0,100.0,100.0,83.0077054409
1377432000000,100,100,100,100,100.0,100.0,100.0,100.0,84.7817095506
1377518400000,100,100,100,100,100.0,100.0,100.0,100.0,84.9999338843
1377604800000,100,100,100,100,100.0,100.0,100.0,100.0,87.4610430819
1377691200000,100,100,100,100,100.0,100.0,100.0,100.0,86.1908707692
1377777600000,100,100,100,100,100.0,100.0,100.0,100.0,85.765341212
1377864000000,100,100,100,100,100.0,100.0,100.0,100.0,84.6503458975
1377950400000,100,100,100,100,100.0,100.0,100.0,100.0,95.2514099803
1378036800000,100,100,100,100,100.0,100.0,100.0,100.0,96.1732896059
1378123200000,100,100,100,100,100.0,100.0,100.0,100.0,96.9006550052
1378209600000,100,100,100,100,100.0,100.0,100.0,100.0,93.0821653599
1378296000000,100,100,100,100,100.0,100.0,100.0,100.0,95.6651926165
1378382400000,100,100,100,100,100.0,100.0,100.0,100.0,86.9234133532
1378468800000,100,100,100,100,100.0,100.0,100.0,100.0,87.9017345992
1378555200000,100,100,100,100,100.0,100.0,100.0,100.0,86.5776435173
1378641600000,100,100,100,100,100.0,100.0,100.0,100.0,85.9160170878
1378728000000,100,100,100,100,100.0,100.0,100.0,100.0,84.4130967324
1378814400000,100,100,100,100,100.0,100.0,100.0,100.0,89.5859148067
1378900800000,100,100,100,100,100.0,100.0,100.0,100.0,89.2172344082
1378987200000,100,100,100,100,100.0,100.0,100.0,100.0,92.734830742
1379073600000,100,100,100,100,100.0,100.0,100.0,100.0,94.8034313008
1379160000000,100,100,100,100,100.0,100.0,100.0,100.0,92.6689333597
1379246400000,100,100,100,100,100.0,100.0,100.0,100.0,91.5578093079
1379332800000,100,100,100,100,100.0,100.0,100.0,100.0,92.3865459639
1379419200000,100,100,100,100,100.0,100.0,100.0,100.0,92.1307752678
1379505600000,100,100,100,100,100.0,100.0,100.0,100.0,92.7371928241
1379592000000,100,100,100,100,100.0,100.0,100.0,100.0,91.2266933976
1379678400000,100,100,100,100,100.0,100.0,100.0,100.0,90.1176312952
1379764800000,100,100,100,100,100.0,100.0,100.0,100.0,89.702478786
1379851200000,100,100,100,100,100.0,100.0,100.0,100.0,89.6782907768
1379937600000,100,100,100,100,100.0,100.0,100.0,100.0,88.5035053619
1380024000000,100,100,100,100,100.0,100.0,100.0,100.0,88.8222619112
1380110400000,100,100,100,100,100.0,100.0,100.0,100.0,90.6249178517
1380196800000,100,100,100,100,100.0,100.0,100.0,100.0,89.6932324855
1380283200000,100,100,100,100,100.0,100.0,100.0,100.0,92.3050874888
1380369600000,100,100,100,100,100.0,100.0,100.0,100.0,93.1077941302
1380456000000,100,100,100,100,100.0,100.0,100.0,100.0,97.7104010886
1380542400000,100,100,100,100,100.0,100.0,100.0,100.0,92.5197804058
1380628800000,100,100,100,100,100.0,100.0,100.0,100.0,93.2772727396
1380715200000,100,100,100,100,100.0,100.0,100.0,100.0,92.708267378
1380801600000,100,100,100,100,100.0,100.0,100.0,100.0,82.2678512262
1380888000000,100,100,100,100,100.0,100.0,100.0,100.0,89.4844622912
1380974400000,100,100,100,100,100.0,100.0,100.0,100.0,91.0387991032
1381060800000,100,100,100,100,100.0,100.0,100.0,100.0,88.6949629473
1381147200000,100,100,100,100,100.0,100.0,100.0,100.0,89.8629384933
1381233600000,100,100,100,100,100.0,100.0,100.0,100.0,87.7710138198
1381320000000,100,100,100,100,100.0,100.0,100.0,100.0,89.4941702976
1381406400000,100,100,100,100,100.0,100.0,100.0,100.0,91.4077336484
1381492800000,100,100,100,100,100.0,100.0,100.0,100.0,91.1810841953
1381579200000,100,100,100,100,100.0,100.0,100.0,100.0,93.5921882709
1381665600000,100,100,100,100,100.0,100.0,100.0,100.0,94.4646727112
1381752000000,100,100,100,100,100.0,100.0,100.0,100.0,99.7603031305
1381838400000,100,100,100,100,100.0,100.0,100.0,100.0,97.5359769725
1381924800000,100,100,100,100,100.0,100.0,100.0,100.0,104.867471347
1382011200000,100,100,100,100,100.0,100.0,100.0,100.0,101.245464654
1382097600000,100,100,100,100,100.0,100.0,100.0,100.0,104.496235733
1382184000000,100,100,100,100,100.0,100.0,100.0,100.0,120.380163903
1382270400000,100,100,100,100,100.0,100.0,100.0,100.0,119.931057875
1382356800000,100,100,100,100,100.0,100.0,100.0,100.0,128.544265546
1382443200000,100,100,100,100,100.0,100.0,100.0,100.0,137.124709571
1382529600000,100,100,100,100,100.0,100.0,100.0,100.0,138.772546086
1382616000000,100,100,100,100,100.0,100.0,100.0,100.0,139.243405993
1382702400000,100,100,100,100,100.0,100.0,100.0,100.0,125.135598078
1382788800000,100,100,100,100,100.0,100.0,100.0,100.0,128.071263319
1382875200000,100,100,100,100,100.0,100.0,100.0,100.0,128.213591027
1382961600000,100,100,100,100,100.0,100.0,100.0,100.0,138.245075063
1383048000000,100,100,100,100,100.0,100.0,100.0,100.0,140.376168979
1383134400000,100,100,100,100,100.0,100.0,100.0,100.0,143.862832931
1383220800000,100,100,100,100,100.0,100.0,100.0,100.0,141.255684896
1383307200000,100,100,100,100,100.0,100.0,100.0,100.0,142.948845306
1383393600000,100,100,100,100,100.0,100.0,100.0,100.0,144.712148508
1383480000000,100,100,100,100,100.0,100.0,100.0,100.0,143.261998266
1383566400000,100,100,100,100,100.0,100.0,100.0,100.0,152.773174392
1383652800000,100,100,100,100,100.0,100.0,100.0,100.0,165.805139094
1383739200000,100,100,100,100,100.0,100.0,100.0,100.0,179.311049337
1383825600000,100,100,100,100,100.0,100.0,100.0,100.0,205.520326315
1383912000000,100,100,100,100,100.0,100.0,100.0,100.0,221.821684887
1383998400000,100,100,100,100,100.0,100.0,100.0,100.0,248.643746639
1384084800000,100,100,100,100,100.0,100.0,100.0,100.0,222.659350417
1384171200000,100,100,100,100,100.0,100.0,100.0,100.0,229.642557111
1384257600000,100,100,100,100,100.0,100.0,100.0,100.0,248.381201214
1384344000000,100,100,100,100,100.0,100.0,100.0,100.0,265.388635838
1384430400000,100,100,100,100,100.0,100.0,100.0,100.0,295.637314722
1384516800000,100,100,100,100,100.0,100.0,100.0,100.0,301.716303504
1384603200000,100,100,100,100,100.0,100.0,100.0,100.0,312.964450412
1384689600000,100,100,100,100,100.0,100.0,100.0,100.0,334.185629724
1384776000000,100,100,100,100,100.0,100.0,100.0,100.0,387.717644547
1384862400000,100,100,100,100,100.0,100.0,100.0,100.0,422.88168137
1384948800000,100,100,100,100,100.0,100.0,100.0,100.0,327.181004249
1385035200000,100,100,100,100,100.0,100.0,100.0,100.0,448.24885103
1385121600000,100,100,100,100,100.0,100.0,100.0,100.0,506.766288031
1385208000000,100,100,100,100,100.0,100.0,100.0,100.0,576.902699288
1385294400000,100,100,100,100,100.0,100.0,100.0,100.0,530.580248018
1385380800000,100,100,100,100,100.0,100.0,100.0,100.0,562.858878428
