timestamp,"market_cap-weighted (max_weight=0.1, min_volume=10000)","market_cap-weighted (max_weight=0.1, min_volume=100000)","market_cap-weighted (max_weight=0.1, min_volume=1000000)","market_cap-weighted (max_weight=0.2, min_volume=10000)","market_cap-weighted (max_weight=0.2, min_volume=100000)","market_cap-weighted (max_weight=0.2, min_volume=1000000)","market_cap-weighted (max_weight=0.3, min_volume=10000)","market_cap-weighted (max_weight=0.3, min_volume=100000)","market_cap-weighted (max_weight=0.3, min_volume=1000000)"
1448107200000,30.2379665297,266.104825909,453.846923985,29.864340878,54.7356570364,318.148797666,24.3045547597,35.9678529664,136.528673253
1448193600000,29.8281005741,264.360108823,442.099083106,29.6507055155,54.3767825376,309.913506749,24.0536862771,35.6180023407,132.99462456
1448280000000,29.882316959,264.782571603,443.831333829,29.6205377583,54.4636797886,311.127822536,24.0843395037,35.7016481746,133.515729541
1448366400000,29.8234764277,268.444197093,439.693015654,29.3397735908,55.216847178,308.226842311,23.8617573708,35.3109622021,132.270818405
1448452800000,29.8240977654,272.65850611,450.141732357,29.3188354626,56.0836971954,315.551441158,24.1005716961,35.6765593162,135.414057575
1448539200000,31.8346120928,301.566364798,517.56022599,31.4825617134,61.1206978966,362.812117734,26.3250846963,39.0445074191,155.695251524
1448625600000,31.5712555902,307.062931614,520.56468896,31.4185331396,61.0133093171,364.918260205,26.272259289,38.9870109316,156.599070238
1448712000000,31.2044600658,306.084293437,508.608022024,31.2137930949,60.8188542146,356.536581254,25.9579745371,38.5711603323,153.002201366
1448798400000,32.5789215681,318.127117902,528.610770594,31.9978005762,63.2117597025,370.55860073,26.6872073058,39.7441697498,159.0195358
1448884800000,32.6849302232,346.35975414,550.638066554,32.3590278201,64.0216341398,385.999837313,27.2657856547,40.6282400081,165.645905472
1448971200000,31.948903265,334.384147536,508.607715777,31.0877257978,61.3729909148,356.536366573,25.8429411715,38.3642617392,153.002109239
1449057600000,31.4077514491,326.160470085,488.059647882,30.3023359546,59.108978241,342.132075721,25.1101276319,37.1678152871,146.820728912
1449144000000,31.8892586446,342.032502473,502.876002416,30.7923143306,60.2897746345,352.518408936,25.7272335466,38.1042391943,151.277864391
1449230400000,32.3736718264,349.726920329,501.12108106,31.3863265149,61.5498176847,351.28820093,26.19424411,38.855178434,150.749939507
1449316800000,34.2461628047,370.474750398,549.402796572,33.6952162136,65.7520458069,385.133907329,28.4747504207,42.3235614967,165.274304911
1449403200000,34.2150112215,375.101600093,569.855872208,34.1371426539,66.5732214276,399.471608167,29.0952509581,43.3445396832,171.427109156
1449489600000,34.8187211283,379.551203163,586.779870318,34.7772778286,67.5143859507,411.335409298,29.8954971579,44.5798378821,176.518277314
1449576000000,35.4558338715,391.931250549,604.851302084,35.396721729,69.1199477985,424.003566742,30.7024313789,45.793311407,181.954622638
1449662400000,38.3176988288,426.884580217,699.413771228,39.1866238445,76.4311828699,490.292295987,35.1226634586,52.3399101344,210.401413328
1449748800000,37.5443380365,416.568240082,700.035345895,39.006446985,75.8212315924,490.72802271,35.1552552936,52.3827997267,210.588398763
1449835200000,38.2856803938,435.744688207,708.458670674,39.7800293349,77.7229355836,496.632812429,35.6220997341,53.2124160441,213.122348638
1449921600000,38.4737024655,438.659320632,727.82189555,40.3359520303,79.0524788454,510.206522831,35.8599496767,53.6406732337,215.148321145
1450008000000,39.2526298959,479.020837978,740.712657156,41.0464765051,81.1673932167,519.243006477,36.5564006669,54.6719314162,218.958904112
1450094400000,39.5957106677,481.573537424,752.902661331,41.5546902098,82.4784648261,527.788255913,37.086556368,55.5246914326,222.562339168
1450180800000,39.0661710717,466.151640119,711.462077696,40.4778844136,80.6047718368,498.738214674,35.4631242375,52.9547473884,210.312265282
1450267200000,38.9845730315,483.879416558,710.366028825,40.347605559,81.1128425183,497.969879335,35.428213953,52.899299789,209.988266958
1450353600000,38.6745054445,477.958826297,702.758987835,39.9020613435,80.1203723098,492.637308336,35.2380296507,52.5567310499,207.739582069
1450440000000,38.346050218,472.942474411,707.787811368,39.4615610619,79.279479834,496.162536946,34.835263239,51.9316500378,209.22613111
1450526400000,38.626655956,473.235669954,717.899044098,39.3890521639,79.3286282853,503.250557963,34.8672009347,51.890640464,212.21506942
1450612800000,38.495209174,516.420969446,705.959861804,39.1967270934,79.6482189237,494.881135827,34.5558997763,51.5025099912,208.685778748
1450699200000,38.4579065769,575.60520173,663.721863924,38.4146398667,81.2792887374,465.272103505,33.5923372672,50.2374488821,196.199984644
1450785600000,38.141495746,563.442619612,652.177000319,37.8691316535,79.839655874,457.179100598,33.0274909279,49.2929848019,192.787256836
1450872000000,37.7739569784,533.451321397,664.625143707,37.820770304,79.3127293655,465.905306821,33.1426251372,49.5719631593,196.466999322
1450958400000,43.1269377472,534.225079367,693.330458094,41.5339828998,79.4320482861,486.027865279,35.3480569852,50.2148215866,204.952454673
