timestamp,"market_cap-weighted (max_weight=0.2, min_volume=0)","market_cap-weighted (max_weight=0.2, min_volume=10000)","volume-weighted (max_weight=0.1, min_volume=100000)","volume-weighted (max_weight=0.2, min_volume=0)","volume-weighted (max_weight=0.2, min_volume=100000)","volume-weighted (max_weight=0.3, min_volume=100000)","volume-weighted (max_weight=1, min_volume=0)","volume-weighted (max_weight=1, min_volume=100000)"
1372766400000,31.340548388,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1372852800000,30.4150581556,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1372939200000,29.0642932218,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1373025600000,27.2268070769,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1373112000000,26.8032283828,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1373198400000,25.5502744324,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1373284800000,27.5611421403,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1373371200000,26.9861129411,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1373457600000,27.9367051442,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1373544000000,30.3739711173,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1373630400000,34.5655811471,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1373716800000,32.2834961593,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1373803200000,33.4799017188,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1373889600000,34.9279629495,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1373976000000,35.5998870996,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1374062400000,36.0974425711,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1374148800000,33.0119998608,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1374235200000,34.6476297483,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1374321600000,35.000153418,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1374408000000,34.0523443459,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1374494400000,35.0657175305,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1374580800000,36.4106231143,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1374667200000,36.3581391579,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1374753600000,36.8710989937,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1374840000000,37.2112251741,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1374926400000,36.4843774192,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1375012800000,36.5748067749,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1375099200000,39.5992847061,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1375185600000,39.4069638034,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1375272000000,41.6402185998,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1375358400000,40.7973243474,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1375444800000,40.4787636687,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1375531200000,42.5005181262,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1375617600000,42.2510278876,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1375704000000,41.3778264876,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1375790400000,40.3322244866,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1375876800000,40.6955145789,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1375963200000,39.886854485,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1376049600000,39.6427021346,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1376136000000,38.969083361,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1376222400000,39.1006395539,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1376308800000,39.5577512292,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1376395200000,40.278786904,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1376481600000,41.053656292,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1376568000000,39.0958438104,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1376654400000,38.4198358239,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1376740800000,40.9392891108,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1376827200000,44.7455953992,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1376913600000,45.476912541,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1377000000000,46.7427395584,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1377086400000,45.2201545721,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1377172800000,44.7109167165,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1377259200000,42.8486304625,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1377345600000,43.2312788024,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1377432000000,44.0852202173,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1377518400000,44.5309307732,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1377604800000,45.283541944,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1377691200000,43.946238978,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1377777600000,43.2109921271,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1377864000000,42.4423777578,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1377950400000,46.0776005272,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1378036800000,45.1635145238,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1378123200000,45.6708396749,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1378209600000,43.5395997772,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1378296000000,45.8640267766,100.0,100.0,100.0,100.0,100.0,100.0,100.0
