timestamp,bitcoin,"market_cap-weighted (max_weight=0.1, min_volume=1000000)","market_cap-weighted (max_weight=0.1, min_volume=100000000)","volume-weighted (max_weight=0.1, min_volume=10000000)","volume-weighted (max_weight=0.1, min_volume=100000000)"
1372766400000,64.0897885335,100,100,100,100
1372852800000,61.7388354391,100,100,100,100
1372939200000,57.0545259149,100,100,100,100
1373025600000,52.0902968391,100,100,100,100
1373112000000,49.0868443362,100,100,100,100
1373198400000,48.1267012578,100,100,100,100
1373284800000,53.2737864011,100,100,100,100
1373371200000,52.4236220064,100,100,100,100
1373457600000,53.970997649,100,100,100,100
1373544000000,60.0983215543,100,100,100,100
1373630400000,68.6853242667,100,100,100,100
1373716800000,64.5592498607,100,100,100,100
1373803200000,67.169331292,100,100,100,100
1373889600000,68.414995365,100,100,100,100
1373976000000,68.6115489674,100,100,100,100
1374062400000,68.339014543,100,100,100,100
1374148800000,61.6301775446,100,100,100,100
1374235200000,63.0726105345,100,100,100,100
1374321600000,64.0256227792,100,100,100,100
1374408000000,62.6895697275,100,100,100,100
1374494400000,64.1437574076,100,100,100,100
1374580800000,64.9168822188,100,100,100,100
1374667200000,65.5153968162,100,100,100,100
1374753600000,67.1576901682,100,100,100,100
1374840000000,67.231183139,100,100,100,100
1374926400000,65.6326177251,100,100,100,100
1375012800000,66.9497544488,100,100,100,100
1375099200000,71.3351348769,100,100,100,100
1375185600000,71.3221045863,100,100,100,100
1375272000000,76.2751543491,100,100,100,100
1375358400000,74.9113791861,100,100,100,100
1375444800000,74.5275841979,100,100,100,100
1375531200000,72.3113174882,100,100,100,100
1375617600000,72.968898648,100,100,100,100
1375704000000,73.8565859086,100,100,100,100
1375790400000,74.1890347549,100,100,100,100
1375876800000,74.650291585,100,100,100,100
1375963200000,72.9865315574,100,100,100,100
1376049600000,72.2609330798,100,100,100,100
1376136000000,71.8631969766,100,100,100,100
1376222400000,72.7202231562,100,100,100,100
1376308800000,72.8388804065,100,100,100,100
1376395200000,74.3361358433,100,100,100,100
1376481600000,78.4411907412,100,100,100,100
1376568000000,77.6648489604,100,100,100,100
1376654400000,77.6641822197,100,100,100,100
1376740800000,76.2646889306,100,100,100,100
1376827200000,79.5244525209,100,100,100,100
1376913600000,83.4975275634,100,100,100,100
1377000000000,84.4824035946,100,100,100,100
1377086400000,85.1771753968,100,100,100,100
1377172800000,85.7162801593,100,100,100,100
1377259200000,83.6611186809,100,100,100,100
1377345600000,83.0077054409,100,100,100,100
1377432000000,84.7817095506,100,100,100,100
1377518400000,84.9999338843,100,100,100,100
1377604800000,87.4610430819,100,100,100,100
1377691200000,86.1908707692,100,100,100,100
1377777600000,85.765341212,100,100,100,100
1377864000000,84.6503458975,100,100,100,100
1377950400000,95.2514099803,100,100,100,100
1378036800000,96.1732896059,100,100,100,100
1378123200000,96.9006550052,100,100,100,100
1378209600000,93.0821653599,100,100,100,100
1378296000000,95.6651926165,100,100,100,100
1378382400000,86.9234133532,100,100,100,100
1378468800000,87.9017345992,100,100,100,100
1378555200000,86.5776435173,100,100,100,100
1378641600000,85.9160170878,100,100,100,100
1378728000000,84.4130967324,100,100,100,100
1378814400000,89.5859148067,100,100,100,100
1378900800000,89.2172344082,100,100,100,100
1378987200000,92.734830742,100,100,100,100
1379073600000,94.8034313008,100,100,100,100
1379160000000,92.6689333597,100,100,100,100
1379246400000,91.5578093079,100,100,100,100
1379332800000,92.3865459639,100,100,100,100
1379419200000,92.1307752678,100,100,100,100
1379505600000,92.7371928241,100,100,100,100
1379592000000,91.2266933976,100,100,100,100
1379678400000,90.1176312952,100,100,100,100
1379764800000,89.702478786,100,100,100,100
1379851200000,89.6782907768,100,100,100,100
1379937600000,88.5035053619,100,100,100,100
1380024000000,88.8222619112,100,100,100,100
1380110400000,90.6249178517,100,100,100,100
1380196800000,89.6932324855,100,100,100,100
1380283200000,92.3050874888,100,100,100,100
1380369600000,93.1077941302,100,100,100,100
1380456000000,97.7104010886,100,100,100,100
1380542400000,92.5197804058,100,100,100,100
1380628800000,93.2772727396,100,100,100,100
1380715200000,92.708267378,100,100,100,100
1380801600000,82.2678512262,100,100,100,100
1380888000000,89.4844622912,100,100,100,100
1380974400000,91.0387991032,100,100,100,100
1381060800000,88.6949629473,100,100,100,100
1381147200000,89.8629384933,100,100,100,100
1381233600000,87.7710138198,100,100,100,100
1381320000000,89.4941702976,100,100,100,100
1381406400000,91.4077336484,100,100,100,100
1381492800000,91.1810841953,100,100,100,100
1381579200000,93.5921882709,100,100,100,100
1381665600000,94.4646727112,100,100,100,100
1381752000000,99.7603031305,100,100,100,100
1381838400000,97.5359769725,100,100,100,100
1381924800000,104.867471347,100,100,100,100
1382011200000,101.245464654,100,100,100,100
1382097600000,104.496235733,100,100,100,100
1382184000000,120.380163903,100,100,100,100
1382270400000,119.931057875,100,100,100,100
1382356800000,128.544265546,100,100,100,100
1382443200000,137.124709571,100,100,100,100
1382529600000,138.772546086,100,100,100,100
1382616000000,139.243405993,100,100,100,100
1382702400000,125.135598078,100,100,100,100
1382788800000,128.071263319,100,100,100,100
1382875200000,128.213591027,100,100,100,100
1382961600000,138.245075063,100,100,100,100
1383048000000,140.376168979,100,100,100,100
1383134400000,143.862832931,100,100,100,100
1383220800000,141.255684896,100,100,100,100
1383307200000,142.948845306,100,100,100,100
1383393600000,144.712148508,100,100,100,100
1383480000000,143.261998266,100,100,100,100
1383566400000,152.773174392,100,100,100,100
1383652800000,165.805139094,100,100,100,100
1383739200000,179.311049337,100,100,100,100
1383825600000,205.520326315,100,100,100,100
1383912000000,221.821684887,100,100,100,100
1383998400000,248.643746639,100,100,100,100
1384084800000,222.659350417,100,100,100,100
1384171200000,229.642557111,100,100,100,100
1384257600000,248.381201214,100,100,100,100
1384344000000,265.388635838,100,100,100,100
1384430400000,295.637314722,100,100,100,100
1384516800000,301.716303504,100,100,100,100
1384603200000,312.964450412,100,100,100,100
1384689600000,334.185629724,100,100,100,100
1384776000000,387.717644547,100,100,100,100
1384862400000,422.88168137,100,100,100,100
1384948800000,327.181004249,100,100,100,100
1385035200000,448.24885103,100,100,100,100
1385121600000,506.766288031,100,100,100,100
1385208000000,576.902699288,100,100,100,100
1385294400000,530.580248018,100,100,100,100
1385380800000,562.858878428,100,100,100,100
1385467200000,582.501740946,100,100,100,100
1385553600000,636.661664847,100,100,100,100
1385640000000,716.548156443,100,100,100,100
1385726400000,767.286551103,100,100,100,100
1385812800000,789.643769216,100,100,100,100
1385899200000,718.491072834,100,100,100,100
1385985600000,681.467480233,100,100,100,100
1386072000000,757.422452852,100,100,100,100
1386158400000,785.638938247,100,100,100,100
1386244800000,654.829257555,100,100,100,100
1386331200000,710.140233994,100,100,100,100
1386417600000,549.048353044,100,100,100,100
1386504000000,528.488368218,100,100,100,100
1386590400000,622.884954507,100,100,100,100
1386676800000,644.550367138,100,100,100,100
1386763200000,617.121967535,100,100,100,100
1386849600000,602.62963308,100,100,100,100
1386936000000,634.241014052,100,100,100,100
1387022400000,611.340151592,100,100,100,100
1387108800000,584.309729218,100,100,100,100
1387195200000,576.567539094,100,100,100,100
1387281600000,495.632326215,100,100,100,100
1387368000000,349.272976765,100,100,100,100
1387454400000,465.302613989,100,100,100,100
1387540800000,480.693943989,100,100,100,100
1387627200000,427.82630281,100,100,100,100
1387713600000,451.745390653,100,100,100,100
1387800000000,445.557495809,100,100,100,100
1387886400000,459.710507583,100,100,100,100
1387972800000,467.370009423,100,100,100,100
1388059200000,500.174383718,100,100,100,100
1388145600000,531.469121522,100,100,100,100
1388232000000,520.936898875,100,100,100,100
1388318400000,507.050095111,100,100,100,100
1388404800000,528.428306923,100,100,100,100
1388491200000,526.486479566,100,100,100,100
1388577600000,537.915665508,100,100,100,100
1388664000000,539.908080434,100,100,100,100
1388750400000,573.833244409,100,100,100,100
1388836800000,575.93059989,100,100,100,100
1388923200000,606.495604395,100,100,100,100
1389009600000,694.16445156,100,100,100,100
1389096000000,645.089870592,100,100,100,100
1389182400000,602.454076846,100,100,100,100
1389268800000,586.078182472,100,100,100,100
1389355200000,585.488013896,100,100,100,100
1389441600000,637.3661709,100,100,100,100
1389528000000,605.76410795,100,100,100,100
1389614400000,583.198477586,100,100,100,100
1389700800000,586.363118111,100,100,100,100
1389787200000,602.324935276,100,100,100,100
1389873600000,595.969093548,100,100,100,100
1389960000000,579.255369171,100,100,100,100
1390046400000,586.274602249,100,100,100,100
1390132800000,583.129111305,100,100,100,100
1390219200000,613.025384833,100,100,100,100
1390305600000,604.07999633,100,100,100,100
1390392000000,588.83598332,100,100,100,100
1390478400000,588.95777033,100,100,100,100
1390564800000,555.830725391,87.0207234913,100,87.4753142891,100
1390651200000,574.284236359,93.5499372253,100,93.1647318733,100
1390737600000,602.009698437,102.242821154,100,101.259984315,100
1390824000000,606.649800079,101.637080582,100,101.558959838,100
1390910400000,567.003928623,92.1033346476,100,91.3558084386,100
1390996800000,573.092530146,92.6867635639,100,92.5828501208,100
1391083200000,564.736266247,90.4267198566,100,90.2504094717,100
1391169600000,574.499335576,93.159774649,100,92.7785457435,100
1391256000000,590.147926502,98.5891105421,100,97.3348593045,100
1391342400000,584.443162828,97.0129768415,100,96.3515373008,100
1391428800000,569.808805253,92.4077830572,100,91.7949410362,100
1391515200000,581.034948206,92.71448894,100,92.9835422252,100
1391601600000,580.316539059,92.5962311038,100,93.0703080419,100
1391688000000,561.770240638,87.0041925692,100,87.3498045728,100
1391774400000,497.086280015,74.1797911379,100,72.6960274055,100
1391860800000,496.593677447,74.4133531744,100,73.2774713378,100
1391947200000,484.142987677,72.2952214528,100,70.5813293104,100
1392033600000,436.152154922,61.8286115044,100,59.3207724066,100
1392120000000,495.628541729,72.6929187008,100,70.2062450808,100
1392206400000,459.557448073,63.9929451542,100,61.8873482194,100
1392292800000,454.156350169,62.7712486275,100,60.9059596556,100
1392379200000,439.697952954,57.8616533939,100,56.2008592695,100
1392465600000,449.905990377,60.383294847,100,58.5485075511,100
1392552000000,450.05501124,59.9977101133,100,57.9499314439,100
1392638400000,452.388732943,60.7787687097,100,58.9766262275,100
1392724800000,440.47066257,58.8522032645,100,56.61099772,100
1392811200000,433.563537117,58.0698779571,100,55.7363999187,100
1392897600000,415.609332698,54.2604595117,100,52.056429525,100
1392984000000,401.174513128,51.1681678195,100,48.6764413387,100
1393070400000,397.398090269,49.9472624061,100,47.8915447197,100
1393156800000,435.202354535,55.4946547401,100,56.5956012944,100
1393243200000,407.821391909,51.4764289382,100,49.2402340964,100
1393329600000,353.262132417,42.4420849215,100,35.0965729028,100
1393416000000,402.60495061,47.7557650192,100,44.2740068905,100
1393502400000,400.591514358,48.005833197,100,43.830065309,100
1393588800000,394.238496768,46.8278449741,100,42.4287135632,100
1393675200000,389.215141053,45.5382170356,100,41.3405192845,100
1393761600000,397.624477037,46.0125139409,100,43.1078911637,100
1393848000000,413.743977358,46.0303085112,100,46.5340490631,100
1393934400000,478.994157339,54.1870117788,100,60.1630371535,100
1394020800000,460.238916669,51.2562473781,100,55.3568935578,100
1394107200000,462.575180208,51.7276604027,100,55.9174769681,100
1394193600000,446.453816314,48.879799358,100,51.9503404953,100
1394280000000,435.564803511,46.840338725,100,49.3847861996,100
1394366400000,434.702113693,46.2224978924,100,49.1889668924,100
1394452800000,439.651359654,46.8873546894,100,50.3027082032,100
1394539200000,439.512230007,45.167177466,100,50.2708661289,100
1394625600000,444.201729877,48.0051947167,100,51.337941874,100
1394712000000,449.218609401,48.1772214406,100,52.4910787134,100
1394798400000,442.706166915,47.2231322468,100,50.9579843746,100
1394884800000,442.933315144,47.1428771915,100,51.0102630564,100
1394971200000,443.107658442,47.2467615595,100,51.0504115275,100
1395057600000,432.388282164,45.298499366,100,48.550087346,100
1395144000000,426.637094721,44.8477137315,100,47.2498937444,100
1395230400000,429.447289892,45.1073481945,100,47.8703087528,100
1395316800000,415.191175107,41.5762008533,100,44.6381119704,100
1395403200000,398.909181555,39.4918642265,100,41.0665897385,100
1395489600000,392.627152252,38.8807559525,100,39.7628621603,100
1395576000000,393.908907143,38.8064142058,100,40.0220558111,100
1395662400000,395.308279929,41.3486316096,100,40.305910929,100
1395748800000,402.681783131,40.7008707651,100,41.6680978666,100
1395835200000,408.477166189,41.6136808642,100,43.1180585993,100
1395921600000,389.188548871,37.8813097645,100,39.4203887708,100
1396008000000,350.788729474,32.0380488986,100,33.0953153943,100
1396094400000,349.084224842,32.1465053812,100,32.8226366911,100
1396180800000,332.83384523,31.3592399287,100,30.8158805733,100
1396267200000,314.228961485,28.6952796135,100,28.4052875306,100
1396353600000,340.309353982,31.3604526832,100,31.3988508438,100
1396440000000,342.772875884,31.3642949012,100,31.3810971339,100
1396526400000,302.83384546,23.8001385118,100,24.4999993849,100
1396612800000,315.172213695,25.9672143613,100,25.8572702509,100
1396699200000,314.103639128,25.0104719439,100,25.3891743355,100
1396785600000,317.433816803,25.8222303573,100,26.2644015007,100
1396872000000,320.322345305,26.4711636554,100,26.9015655725,100
1396958400000,315.210875252,25.3677005432,100,25.888994517,100
1397044800000,315.496042087,25.3843617358,100,25.8327579577,100
1397131200000,286.556961428,21.9721651994,100,22.0144269618,100
1397217600000,290.024068116,22.5527829711,100,22.5958897104,100
1397304000000,297.925684348,23.6940516942,100,23.9007693142,100
1397390400000,290.942914332,22.1884492855,100,22.4738137197,100
1397476800000,324.279080751,25.5468424447,100,26.0881053676,100
1397563200000,349.729403186,28.8598853803,100,29.0870878495,100
1397649600000,361.006540295,32.3895215238,100,30.8492131937,100
