timestamp,"30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: market_cap-weighted (max_weight=1, min_volume=0)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: volume-weighted (max_weight=1, min_volume=0)",bitcoin
1411732800000,1854.55202514,228.07172042,17.5434027071,20.2985481519,59.0283482096,76.1272006648,32.9427211372,17.5434027071,20.2985481519,29.8977310144,280.398767135
1411819200000,1887.93046383,231.116332594,17.825945183,20.7775339473,60.3795282297,77.0243144364,33.3824854782,17.825945183,20.7775339473,30.51644886,283.707058582
1411905600000,1851.62852496,228.620457321,17.5977061396,19.8406417144,57.8315078268,75.251793852,33.021980796,17.5977061396,19.8406417144,29.3534439307,277.310656096
1411992000000,1764.1485382,214.800999959,16.7459468063,17.9058610212,52.514954025,70.6493248453,31.0258958393,16.7459468063,17.9058610212,26.858267258,263.789538403
1412078400000,1787.8896427,217.316135124,16.9232474542,18.2591852361,53.5017386967,71.8118008794,31.389182424,16.9232474542,18.2591852361,27.3447302855,266.392128456
1412164800000,1806.90224486,220.291408023,17.2285410414,18.4462994335,54.0645790192,72.4003978346,31.8189313873,17.2285410414,18.4462994335,27.6985712553,267.757078443
1412251200000,1779.43343217,218.276626693,17.2485704352,18.3589919098,53.7643922981,70.284076345,31.5279160024,17.2485704352,18.3589919098,27.4454202897,267.123422691
1412337600000,1745.35537087,212.597590165,17.0670657253,17.6450237702,51.7982726612,67.751108512,30.7076349245,17.0670657253,17.6450237702,26.4100904298,261.929302718
1412424000000,1632.78652094,196.292982897,15.8432612235,15.1448298666,44.899852755,62.1136413023,28.3525944596,15.8432612235,15.1448298666,23.1184787217,243.37239811
1412510400000,1474.17944028,179.351015973,14.1087908799,12.0733288568,36.3241877846,55.7133404902,25.9054936492,14.1087908799,12.0733288568,19.1614422756,218.693396327
1412596800000,1556.63919584,189.752800461,14.7821486787,13.2957806304,39.8127475271,59.554009134,27.4079293088,14.7821486787,13.2957806304,20.9036144549,229.764996107
1412683200000,1540.2854426,192.619250134,14.6052105838,13.0139894371,39.0354829613,60.0939717802,27.8219598255,14.6052105838,13.0139894371,20.5832759351,227.330172826
1412769600000,1598.50708008,204.74945112,15.1714953739,14.1258790633,42.1709695831,63.655588314,29.5740482811,15.1714953739,14.1258790633,22.1332430209,237.041493943
1412856000000,1707.53240444,222.304063575,16.4039674248,16.6947692794,49.3069120186,68.895948363,32.1096397245,16.4039674248,16.6947692794,25.4490999453,258.595323332
1412942400000,1656.95602294,214.87822064,15.9866535364,16.1863844002,47.8263460848,66.2821249116,31.0370496087,15.9866535364,16.1863844002,24.5677726927,254.657983737
1413028800000,1589.32090449,207.417678034,15.5711071279,15.6136400363,46.1767287236,63.3992092888,29.959447466,15.5711071279,15.6136400363,23.659046115,250.152532696
1413115200000,1597.38798738,206.826434468,15.5513183197,15.6407540824,46.2713447003,63.524980853,29.8740481369,15.5513183197,15.6407540824,23.7267447598,250.369735324
1413201600000,1678.0273971,218.616457033,16.4684559545,17.6438141694,51.7974420903,66.7421781509,31.5770011591,16.4684559545,17.6438141694,26.1861862684,266.401750826
1413288000000,1773.63594835,233.123443151,17.7247361317,19.848524432,57.8910905016,71.1467608934,33.6723928952,17.7247361317,19.848524432,29.0770336476,283.046073544
1413374400000,1711.59295377,225.605398761,17.1998473558,18.9876290201,55.434095094,67.9398555728,32.5864851845,17.1998473558,18.9876290201,27.7879237621,276.90775664
1413460800000,1676.18828837,220.219734883,16.8138764144,18.0627467828,52.9050336335,65.7179456991,31.8085789059,16.8138764144,18.0627467828,26.635715972,270.163705942
1413547200000,1641.85385423,216.450390292,16.5424960903,17.1124400899,50.3101309394,64.0906189729,31.2641340816,16.5424960903,17.1124400899,25.4934296143,263.056858323
1413633600000,1669.51074746,221.688237665,16.9697069867,17.872346808,52.3861437676,65.521053277,32.0206897172,16.9697069867,17.872346808,26.495178969,268.897599703
1413720000000,1658.3805836,220.422296264,16.9736088839,18.1318120779,53.0454274254,64.8950070911,31.837836909,16.9736088839,18.1318120779,26.6782105823,270.849486297
1413806400000,1614.37144173,217.758088832,16.766239996,17.645070119,51.6514474175,63.5353861581,31.4530182987,16.766239996,17.645070119,25.997832171,267.214057887
1413892800000,1654.43860538,220.937604425,17.2168122244,18.2055629644,53.2411936725,65.014635081,31.8450266155,17.2168122244,18.2055629644,26.1583461434,271.458063907
1413979200000,1673.80031483,220.326057174,17.0458564747,17.9872630451,52.6940115668,65.8275157844,31.9311380543,17.0458564747,17.9872630451,26.0668905585,269.830559348
1414065600000,1606.15257317,214.583556486,16.5076815317,16.6606197682,49.0200563722,63.2453780465,31.2857172933,16.5076815317,16.6606197682,24.4573383073,259.879937717
1414152000000,1567.41899131,208.69021256,15.981625717,15.4540461724,45.7208874462,62.1078774389,30.5850698068,15.981625717,15.4540461724,23.0120036743,250.469595386
1414238400000,1513.43964738,201.789497783,15.3023413413,14.5100123652,43.0469577911,59.9389866491,29.5354853315,15.3023413413,14.5100123652,21.6542562759,242.819438169
1414324800000,1520.974591,203.292187652,15.2951912054,15.2567242557,45.0263730874,60.8584236027,29.6321820871,15.2951912054,15.2567242557,22.5728173095,249.067405337
1414411200000,1540.70748974,206.015516302,15.6491397173,15.2052469112,44.9642258499,61.1197237807,29.9951498172,15.6491397173,15.2052469112,22.628374345,248.647219182
1414497600000,1557.04572193,208.694154369,15.9363928569,15.5498924125,45.9229083631,61.2945047624,30.3694600534,15.9363928569,15.5498924125,23.1253016709,251.46516571
1414584000000,1501.091396,201.900596002,15.4030244476,14.640211934,43.3573584253,59.2285505705,29.3545491889,15.4030244476,14.640211934,21.8811505686,244.109714424
1414670400000,1441.65719708,194.962213708,15.0322660982,13.6421438349,40.5531147492,56.6794247546,28.3032275797,15.0322660982,13.6421438349,20.6629354219,235.788860883
1414756800000,1438.3008102,196.893269092,15.2235613775,13.9081854317,41.2767835776,56.4201003156,28.6547926272,15.2235613775,13.9081854317,20.8042339929,238.087973318
1414843200000,1359.36211823,189.626505906,14.5794662787,13.1170051849,38.9676954192,53.5612344799,27.6302634162,14.5794662787,13.1170051849,19.7503930317,231.316043851
1414929600000,1347.97867929,183.060985493,14.1995320271,12.4328856239,37.1038569578,52.5874981635,26.6781184596,14.1995320271,12.4328856239,18.9032320899,225.283880711
