"market_cap-weighted (max_weight=0.2, min_volume=0)","market_cap-weighted (max_weight=0.2, min_volume=10000)","market_cap-weighted (max_weight=1, min_volume=0)","market_cap-weighted (max_weight=1, min_volume=10000)",timestamp,"volume-weighted (max_weight=0.2, min_volume=0)","volume-weighted (max_weight=0.2, min_volume=10000)","volume-weighted (max_weight=1, min_volume=0)","volume-weighted (max_weight=1, min_volume=10000)"
100,100,100,100,1367236800000,100,100,100,100
101.699901767,100.0,102.293095372,100.0,1367323200000,100.0,100.0,100.0,100.0
91.6190797595,100.0,85.6050886681,100.0,1367409600000,100.0,100.0,100.0,100.0
76.0791295042,100.0,59.745382757,100.0,1367496000000,100.0,100.0,100.0,100.0
47.0895871708,100.0,23.8010703682,100.0,1367582400000,100.0,100.0,100.0,100.0
64.195854521,100.0,33.1995746929,100.0,1367668800000,100.0,100.0,100.0,100.0
67.4674187598,100.0,38.3414776893,100.0,1367755200000,100.0,100.0,100.0,100.0
68.6613502531,100.0,45.8138599974,100.0,1367841600000,100.0,100.0,100.0,100.0
56.3514205911,100.0,34.7135785629,100.0,1367928000000,100.0,100.0,100.0,100.0
60.8715688731,100.0,37.3722617461,100.0,1368014400000,100.0,100.0,100.0,100.0
59.3741055091,100.0,36.8330495751,100.0,1368100800000,100.0,100.0,100.0,100.0
61.2824510615,100.0,40.2433644621,100.0,1368187200000,100.0,100.0,100.0,100.0
57.367755403,100.0,40.5474857912,100.0,1368273600000,100.0,100.0,100.0,100.0
52.8175296407,100.0,38.6589802511,100.0,1368360000000,100.0,100.0,100.0,100.0
56.245859257,100.0,40.3365511074,100.0,1368446400000,100.0,100.0,100.0,100.0
53.5702063129,100.0,40.9436803511,100.0,1368532800000,100.0,100.0,100.0,100.0
50.3345738008,100.0,37.1291157539,100.0,1368619200000,100.0,100.0,100.0,100.0
48.6789250514,100.0,37.7106293918,100.0,1368705600000,100.0,100.0,100.0,100.0
49.7860394308,100.0,40.4684759444,100.0,1368792000000,100.0,100.0,100.0,100.0
51.7561704232,100.0,43.4179311578,100.0,1368878400000,100.0,100.0,100.0,100.0
54.1944105765,100.0,44.0663736621,100.0,1368964800000,100.0,100.0,100.0,100.0
53.6520202187,100.0,42.9194042697,100.0,1369051200000,100.0,100.0,100.0,100.0
54.477563369,100.0,42.3895283977,100.0,1369137600000,100.0,100.0,100.0,100.0
55.2141235318,100.0,43.4709562518,100.0,1369224000000,100.0,100.0,100.0,100.0
54.8000532308,100.0,44.272561458,100.0,1369310400000,100.0,100.0,100.0,100.0
54.8815685965,100.0,46.5193461227,100.0,1369396800000,100.0,100.0,100.0,100.0
53.6530436554,100.0,47.2684915263,100.0,1369483200000,100.0,100.0,100.0,100.0
55.2742994217,100.0,50.1427949474,100.0,1369569600000,100.0,100.0,100.0,100.0
54.9698863298,100.0,51.0095672938,100.0,1369656000000,100.0,100.0,100.0,100.0
51.6333626083,100.0,46.8820825956,100.0,1369742400000,100.0,100.0,100.0,100.0
51.2107184961,100.0,46.8965364906,100.0,1369828800000,100.0,100.0,100.0,100.0
48.7466588912,100.0,47.9855349367,100.0,1369915200000,100.0,100.0,100.0,100.0
45.0085536703,100.0,46.4152528325,100.0,1370001600000,100.0,100.0,100.0,100.0
46.643849142,100.0,46.5254961551,100.0,1370088000000,100.0,100.0,100.0,100.0
